"Measure","2014 - Money income  - Estimate","2014 - Money income - Margin 
of error1
(+ ) ","2014 - Equivalence-
 adjusted income - Estimate","2014 - Equivalence-
 adjusted income - Margin 
of error1
(+ ) ","2015 - Money income  - Estimate","2015 - Money income  - Margin 
of error1
(+ ) ","2015 - Equivalence-
 adjusted income - Estimate","2015 - Equivalence-
 adjusted income - Margin 
of error1
(+ ) ","Percentage change 2,* - Money income  - Estimate","Percentage change 2,* - Money income  - Margin 
of error1
(+ ) ","Percentage Change - Equivalence-
 adjusted income - Estimate","Percentage Change - Equivalence-
 adjusted income - Margin 
of error1
(+ ) ","","","","","","","",""
"Shares of Aggregate Income by Percentile - Lowest quintile","3.1","0.05","3.3","0.05","3.1","0.05","3.4","0.06","1.9","2.31","*3.0","2.37","","","","","","","",""
"Shares of Aggregate Income by Percentile - Second quintile","8.2","0.08","9.0","0.08","8.2","0.09","9.0","0.09","0.3","1.46","0.6","1.31","","","","","","","",""
"Shares of Aggregate Income by Percentile - Middle quintile","14.3","0.11","14.8","0.11","14.3","0.12","14.8","0.11","0.5","1.12","0.4","1.05","","","","","","","",""
"Shares of Aggregate Income by Percentile - Fourth quintile","23.2","0.15","22.9","0.14","23.2","0.15","22.9","0.14","0.1","0.89","-0.1","0.86","","","","","","","",""
"Shares of Aggregate Income by Percentile - Highest quintile","51.2","0.33","50.0","0.32","51.1","0.32","49.8","0.33","-0.4","0.88","-0.4","0.92","","","","","","","",""
"Shares of Aggregate Income by Percentile - Top 5 percent","21.9","0.39","21.8","0.39","22.1","0.38","21.8","0.38","0.9","2.53","0.4","2.55","","","","","","","",""
"Summary Measures - Gini index of income inequality","0.480","0.0034","0.464","0.0033","0.479","0.0033","0.462","0.0035","-0.3","0.98","-0.5","1.03","","","","","","","",""
"Summary Measures - Mean logarithmic deviation of income","0.611","0.0120","0.648","0.0126","0.596","0.0111","0.623","0.0117","-2.4","2.49","*-3.8","2.44","","","","","","","",""
"Summary Measures - Theil","0.419","0.0090","0.397","0.0088","0.420","0.0085","0.396","0.0085","0.2","2.95","-0.1","3.12","","","","","","","",""
"Summary Measures - Atkinson: e=0.25","0.102","0.0018","0.096","0.0018","0.101","0.0017","0.096","0.0017","-0.2","2.43","-0.6","2.56","","","","","","","",""
"Summary Measures - Atkinson: e=0.50","0.200","0.0030","0.192","0.0029","0.199","0.0028","0.190","0.0029","-0.6","2.02","-1.1","2.11","","","","","","","",""
"Summary Measures - Atkinson: e=0.75","0.307","0.0040","0.301","0.0039","0.303","0.0038","0.295","0.0040","-1.1","1.74","*-1.8","1.77","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
